Data_Escala_de_Tempo;cod_aneel_tb_referenciacegusina_Usina;cod_nucleoaneel_tb_referenciacegusina_Usina;Data_Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período_Exibido_GE;Selecione_Tipo_de_GE_Simp_4
04/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018386
04/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018656
04/01/2018 21:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 21:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020382
04/01/2018 22:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 22:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019694
04/01/2018 23:00:00;UTE.FL.RS.030666-5.01;030666-5;4/1/2018 23:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021264
05/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021162
05/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019161
05/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017119
05/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017058
05/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.014946
05/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.017357
05/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016595
05/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019536
05/01/2018 08:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 8:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019346
05/01/2018 09:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 9:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.021466
05/01/2018 10:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 10:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.023817
05/01/2018 11:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 11:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.018025
05/01/2018 12:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 12:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.01471
05/01/2018 13:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 13:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.011718
05/01/2018 14:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 14:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.013026
05/01/2018 15:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 15:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.015152
05/01/2018 16:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 16:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.019928
05/01/2018 17:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 17:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020257
05/01/2018 18:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 18:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.020316
05/01/2018 19:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 19:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.016122
05/01/2018 20:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 20:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.012039
05/01/2018 21:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 21:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.010028
05/01/2018 22:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 22:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.008578
05/01/2018 23:00:00;UTE.FL.RS.030666-5.01;030666-5;5/1/2018 23:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.010119
06/01/2018 00:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 0:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.007034
06/01/2018 01:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 1:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.006016
06/01/2018 02:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 2:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.008549
06/01/2018 03:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 3:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.009303
06/01/2018 04:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 4:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.012138
06/01/2018 05:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 5:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.010548
06/01/2018 06:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 6:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.012246
06/01/2018 07:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 7:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.008431
06/01/2018 08:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 8:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.004216
06/01/2018 09:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 9:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.003278
06/01/2018 10:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 10:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.00372
06/01/2018 11:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 11:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.004411
06/01/2018 12:00:00;UTE.FL.RS.030666-5.01;030666-5;6/1/2018 12:00;RIO GRANDE DO SUL;Sul;Térmica; CMPC;5;0.005295
